EnrichedDO	AffliatedEntrezGeneID
hsa00010	10327
hsa00010	124
hsa00010	125
hsa00010	126
hsa00010	127
hsa00010	128
hsa00010	130
hsa00010	130589
hsa00010	131
hsa00010	160287
hsa00010	1737
hsa00010	1738
hsa00010	2023
hsa00010	2026
hsa00010	2027
hsa00010	217
hsa00010	218
hsa00010	219
hsa00010	220
hsa00010	2203
hsa00010	221
hsa00010	222
hsa00010	223
hsa00010	224
hsa00010	226
hsa00010	229
hsa00010	230
hsa00010	2538
hsa00010	2597
hsa00010	26330
hsa00010	2645
hsa00010	2821
hsa00010	3098
hsa00010	3099
hsa00010	3101
hsa00010	3939
hsa00010	3945
hsa00010	3948
hsa00010	441531
hsa00010	501
hsa00010	5105
hsa00010	5106
hsa00010	5160
hsa00010	5161
hsa00010	5162
hsa00010	5211
hsa00010	5213
hsa00010	5214
hsa00010	5223
hsa00010	5224
hsa00010	5230
hsa00010	5232
hsa00010	5236
hsa00010	5313
hsa00010	5315
hsa00010	55276
hsa00010	55902
hsa00010	57818
hsa00010	669
hsa00010	7167
hsa00010	80201
hsa00010	83440
hsa00010	84532
hsa00010	8789
hsa00010	92483
hsa00020	1431
hsa00020	1737
hsa00020	1738
hsa00020	1743
hsa00020	2271
hsa00020	3417
hsa00020	3418
hsa00020	3419
hsa00020	3420
hsa00020	3421
hsa00020	4190
hsa00020	4191
hsa00020	47
hsa00020	48
hsa00020	4967
hsa00020	50
hsa00020	5091
hsa00020	5105
hsa00020	5106
hsa00020	5160
hsa00020	5161
hsa00020	5162
hsa00020	55753
hsa00020	6389
hsa00020	6390
hsa00020	6391
hsa00020	6392
hsa00020	8801
hsa00020	8802
hsa00020	8803
hsa00071	10449
hsa00071	10455
hsa00071	124
hsa00071	125
hsa00071	126
hsa00071	126129
hsa00071	127
hsa00071	128
hsa00071	130
hsa00071	131
hsa00071	1374
hsa00071	1375
hsa00071	1376
hsa00071	1579
hsa00071	1632
hsa00071	1892
hsa00071	1962
hsa00071	217
hsa00071	2180
hsa00071	2181
hsa00071	2182
hsa00071	219
hsa00071	223
hsa00071	224
hsa00071	23305
hsa00071	2639
hsa00071	284541
hsa00071	30
hsa00071	3030
hsa00071	3032
hsa00071	3033
hsa00071	33
hsa00071	34
hsa00071	35
hsa00071	36
hsa00071	37
hsa00071	38
hsa00071	39
hsa00071	501
hsa00071	51
